p sp 100 400
a 1 2 9561
a 2 3 9479
a 3 4 566
a 4 5 849
a 5 6 8355
a 6 7 7360
a 7 8 6698
a 8 9 3082
a 9 10 6060
a 10 11 6069
a 11 12 5813
a 12 13 1584
a 13 14 4307
a 14 15 3936
a 15 16 7231
a 16 17 9949
a 17 18 9494
a 18 19 5442
a 19 20 4449
a 20 21 2683
a 21 22 360
a 22 23 275
a 23 24 4649
a 24 25 3185
a 25 26 3801
a 26 27 8918
a 27 28 5258
a 28 29 5606
a 29 30 2362
a 30 31 239
a 31 32 3252
a 32 33 1367
a 33 34 5103
a 34 35 9987
a 35 36 6745
a 36 37 1819
a 37 38 8936
a 38 39 7968
a 39 40 7345
a 40 41 9066
a 41 42 7629
a 42 43 7898
a 43 44 3538
a 44 45 9810
a 45 46 9620
a 46 47 1612
a 47 48 7541
a 48 49 7152
a 49 50 4615
a 50 51 5304
a 51 52 4901
a 52 53 9249
a 53 54 5009
a 54 55 8316
a 55 56 3540
a 56 57 8829
a 57 58 8998
a 58 59 4611
a 59 60 5678
a 60 61 9204
a 61 62 7238
a 62 63 4867
a 63 64 2219
a 64 65 3247
a 65 66 6996
a 66 67 1661
a 67 68 9080
a 68 69 2682
a 69 70 9114
a 70 71 3096
a 71 72 9574
a 72 73 7063
a 73 74 5043
a 74 75 5178
a 75 76 6515
a 76 77 5880
a 77 78 3119
a 78 79 2079
a 79 80 5119
a 80 81 9342
a 81 82 6233
a 82 83 754
a 83 84 8204
a 84 85 7260
a 85 86 9077
a 86 87 1915
a 87 88 7448
a 88 89 588
a 89 90 6530
a 90 91 2731
a 91 92 2267
a 92 93 8755
a 93 94 1063
a 94 95 5224
a 95 96 8540
a 96 97 2449
a 97 98 2105
a 98 99 8806
a 99 100 4230
a 100 1 7170
a 4 37 1719
a 68 9 9546
a 3 73 212
a 26 82 1572
a 19 70 3856
a 5 100 1515
a 4 35 6153
a 75 12 3373
a 4 45 7660
a 74 91 7557
a 87 71 4728
a 23 67 3164
a 11 45 8748
a 13 59 3930
a 52 15 9598
a 26 61 4198
a 2 56 1406
a 6 4 1612
a 10 64 5083
a 99 94 9946
a 24 45 2508
a 60 63 8003
a 71 26 4231
a 53 1 355
